rid,a,sex,w,Time_STM,Error_STM,Time_LTM,Error_LTM,Entries,Time_Entries,Old,New,Old_STM,New_STM,Old_LTM,New_LTM
1,2,M,22.3,21,3,17,4,SI,180,45,85,40.1,69,39.1,70
2,2,M,23.2,20,2,12,5,SI,133,49,77,36.55,67,35.5,69
4,2,M,26.2,18,1,20,6,SI,130,47,72,23.5,54,23.7,52
5,2,M,25.5,17,3,14,5,SI,160,40,63,39.9,52,49.9,50
6,2,M,22.3,16,4,12,1,SI,119,46,78,33.5,50,48.5,28
8,24,M,33.4,80,15,90,19,NO,59,29,37,59,47.9,58,46
9,24,M,32.2,66,9,76,11,NO,80,49,44,60.1,47.2,45,44
10,24,M,35.2,32,10,52,16,NO,57,37,32,56.6,51.2,59.5,4
11,24,M,35.8,59,11,70,14,NO,58,30,33,50.7,30,54,60
12,24,M,33.1,60,17,66,17,SI,68,26,28,62.6,49.2,57.5,59
13,24,M,32,90,6,90,8,NO,49,3,12,60.5,48,52.5,58
14,12,M,39.1,89,12,36,16,SI,77,49,66,10.5,17,13.5,8
15,12,M,40.2,52,11,90,12,SI,65,41,67,41,59,41,49
16,12,M,44.2,48,7,35,8,NO,56.1,46,44.52,20.5,21,18,11
17,12,M,41.3,40,11,85,8,NO,102,50,63,44,52,44,42
18,12,M,42.1,46,10,90,8,SI,99,46,58,17.5,25,14.5,18
19,12,M,39.7,46,7,90,15,SI,51.42,35,57,46.5,62,46.5,42
20,12,M,38.6,45,13,90,29,NO,48.81,60,56,44.5,69,44.5,39
22,2,M,20.5,20,6,11,2,SI,131,43,82,30.5,58,45.5,56
